"id","name","pokemonBase","tipo1","tipo2","ps","ataque","defensa","ataqueEsp","defensaEsp","velocidad","sprite","slug"
"abomasnow","Abomasnow","Abomasnow","Planta","Hielo","90","92","75","92","85","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Abomasnow"
"Mega-Abomasnow","Mega-Abomasnow","Abomasnow","Planta","Hielo","90","132","105","132","105","30","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Abomasnow"
"abra","Abra","Abra","Psíquico",,"25","20","15","105","55","90","https://images.wikidexcdn.net/mwuploads/wikidex/3/38/latest/20260306153303/Segunda_generaci%C3%B3n.svg","Abra"
"absol","Absol","Absol","Siniestro",,"65","130","60","75","60","75","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Absol"
"Mega-Absol","Mega-Absol","Absol","Siniestro",,"65","150","60","115","60","115","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Absol"
"Mega-Absol Z","Mega-Absol Z","Absol","Siniestro","Fantasma","65","154","60","75","60","151","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Absol"
"accelgor","Accelgor","Accelgor","Bicho",,"80","70","40","100","60","145","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Accelgor"
"aegislash","Aegislash Forma Escudo","Aegislash","Acero","Fantasma","60","50","140","50","140","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Aegislash"
"aegislash-2","Aegislash Forma Filo","Aegislash","Acero","Fantasma","60","140","50","140","50","60","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/86/latest/20190423163814/Aegislash.png/200px-Aegislash.png","Aegislash"
"aerodactyl","Aerodactyl","Aerodactyl","Roca","Volador","80","105","65","60","75","130","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Aerodactyl"
"aggron","Aggron","Aggron","Acero","Roca","70","110","180","60","60","50","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Aggron"
"aipom","Aipom","Aipom","Normal",,"55","70","55","40","55","85","https://images.wikidexcdn.net/mwuploads/wikidex/3/38/latest/20260306153303/Segunda_generaci%C3%B3n.svg","Aipom"
"alakazam","Alakazam","Alakazam","Psíquico",,"55","50","45","135","95","120","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Alakazam"
"alcremie","Alcremie","Alcremie","Hada",,"65","60","75","110","121","64","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Alcremie"
"alomomola","Alomomola","Alomomola","Agua",,"165","75","80","40","45","65","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Alomomola"
"altaria","Altaria","Altaria","Dragón","Volador","75","70","90","70","105","80","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Altaria"
"Mega-Altaria","Mega-Altaria","Altaria","Dragón","Hada","75","110","110","110","105","80","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Altaria"
"amaura","Amaura","Amaura","Roca","Hielo","77","59","50","67","63","46","https://images.wikidexcdn.net/mwuploads/wikidex/9/9e/latest/20260306153505/Sexta_generaci%C3%B3n.svg","Amaura"
"ambipom","Ambipom","Ambipom","Normal",,"75","100","66","60","66","115","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20251020084937/Tipo_ps%C3%ADquico_LPZA.png/80px-Tipo_ps%C3%ADquico_LPZA.png","Ambipom"
"amoonguss","Amoonguss","Amoonguss","Planta","Veneno","114","85","70","85","80","30","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Amoonguss"
"ampharos","Ampharos","Ampharos","Eléctrico",,"90","75","85","115","90","55","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Ampharos"
"annihilape","Annihilape","Annihilape","Lucha","Fantasma","110","115","80","50","90","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Annihilape"
"anorith","Anorith","Anorith","Roca","Bicho","45","95","50","40","50","75","https://images.wikidexcdn.net/mwuploads/wikidex/4/4a/latest/20260306153335/Tercera_generaci%C3%B3n.svg","Anorith"
"appletun","Appletun","Appletun","Planta","Dragón","110","85","80","100","80","30","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Appletun"
"applin","Applin","Applin","Planta","Dragón","40","40","80","40","40","20","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Applin"
"araquanid","Araquanid","Araquanid","Agua","Bicho","68","70","92","50","132","42","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Araquanid"
"arbok","Arbok","Arbok","Veneno",,"60","95","69","65","79","80","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Arbok"
"arboliva","Arboliva","Arboliva","Planta","Normal","78","69","90","125","109","39","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/97/latest/20221208180633/Tipo_hada_EP.png/90px-Tipo_hada_EP.png","Arboliva"
"arcanine","Arcanine","Arcanine","Fuego",,"90","110","80","100","80","95","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Arcanine"
"arcanine-de-hisui","Arcanine de Hisui","Arcanine","Fuego","Roca","95","115","80","95","80","90","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Arcanine_de_Hisui"
"arceus","Arceus","Arceus","Normal",,"120","120","120","120","120","120","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20251020084947/Tipo_drag%C3%B3n_LPZA.png/80px-Tipo_drag%C3%B3n_LPZA.png","Arceus"
"archaludon","Archaludon","Archaludon","Acero","Dragón","90","105","130","125","65","85","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20251020085001/Tipo_normal_LPZA.png/75px-Tipo_normal_LPZA.png","Archaludon"
"archen","Archen","Archen","Roca","Volador","55","112","45","74","45","70","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Archen"
"archeops","Archeops","Archeops","Roca","Volador","75","140","65","112","65","110","https://images.wikidexcdn.net/mwuploads/wikidex/9/9f/latest/20260306180702/Quinta_generaci%C3%B3n.svg","Archeops"
"arctibax","Arctibax","Arctibax","Dragón","Hielo","90","95","66","45","65","62","https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3b/latest/20251020084947/Tipo_drag%C3%B3n_LPZA.png/75px-Tipo_drag%C3%B3n_LPZA.png","Arctibax"
"arctovish","Arctovish","Arctovish","Agua","Hielo","90","90","100","80","90","55","https://images.wikidexcdn.net/mwuploads/wikidex/4/4b/latest/20260306153545/Octava_generaci%C3%B3n.svg","Arctovish"
